Collision ; Groups
false
false
false
true;4 : FrankaGripper_visible Franka_link6
false
false
false
false
true;9 : FrankaGripper_visible Franka_link6
false
false
false
false
false
false
false
false
false
true;19 : Franka_link3 FrankaGripper_leftFinger_visible
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
true;40 : Franka_link2 FrankaGripper_visible
false
false
false
false
false
false
false
false
false
false
false
false
false
true;54 : Franka Franka_link7
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
true;72 : Franka FrankaGripper_leftPad_visible
false
false
false
false
false
false
false
true;80 : Franka_link2 FrankaGripper_visible
false
false
false
true;84 : Franka Franka_link6
false
true;86 : Franka Franka_link8
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
true;127 : FrankaGripper_visible Franka_link6
false
false
false
false
false
true;133 : Franka Franka_link7
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
false
true;151 : Franka Franka_link6
false
false
false
false
false
false
false
false
false
false
false
true;163 : Franka FrankaGripper_visible
false
false
false
false
false
false
true;170 : Franka Franka_link8
